Block,AccTemp,PerfTemp,AccInc,PerfInc,AccTempActual,AvgSpeedTotalMicroms,SDSpeedTotalMicroms,NumVideos,IncPerfTemp,DilutionConcentrationZsp_nl,StageAdjustedTemp,MeanFractionMoving
A,9,7,1,7,7.757608108,46.35291683,3.458965674,3,7.581666667,15,11.08959208,0.266666667
A,9,10,1,6,7.757608108,52.87545786,0.994528554,3,10.68333333,15,13.01264585,0.266666667
A,9,16,1,1,7.757608108,55.84417552,8.33516356,3,15.887,15,17.10599503,0.466666667
A,16.5,13,2,8,15.50156757,61.62019407,2.362852334,3,12.75466667,15,14.64201436,0.666666667
A,16.5,22,2,9,15.50156757,71.65361049,3.486755985,3,21.314,15,21.36396224,0.566666667
A,24,16,3,1,24.33856,71.7708729,6.909400305,3,16.046,15,17.01624565,0.666666667
A,24,25,3,3,24.33856,71.91926053,1.259798921,3,25.70766667,15,24.99008552,0.7
A,24,28,3,4,24.33856,71.15367689,2.846914626,3,28.58933333,15,27.09800433,0.4
B,9,22,1,9,7.757608108,65.14614951,6.290947346,2,22.142,15,22.04731632,0.5
B,9,28,1,4,7.757608108,64.99450459,0.36340189,2,27.961,15,26.84977699,0.5
B,16.5,10,2,6,15.50156757,49.62733714,7.840032858,3,10.32433333,15,12.29411485,0.466666667
B,16.5,13,2,8,15.50156757,58.95187087,4.10812065,3,12.94766667,15,14.45916987,0.333333333
B,16.5,25,2,2,15.50156757,66.59057639,4.681869744,3,25.09266667,15,24.77296199,0.516666667
B,24,7,3,7,24.33856,44.24074563,1.226280427,3,7.748666667,15,11.70151715,0.233333333
B,24,16,3,1,24.33856,62.57494179,9.595929063,3,15.887,15,17.31661202,0.466666667
B,24,19,3,2,24.33856,65.07364466,9.122725755,3,18.39433333,15,19.07833328,0.3
C,9,7,4,6,7.499378788,45.3248198,6.219802471,2,7.174,15,10.78393927,0.425
C,9,10,4,5,7.499378788,47.74896693,4.028467475,3,10.21,15,12.19975477,0.366666667
C,9,13,4,4,7.499378788,46.93440331,4.125125573,3,13.028,15,15.17304363,0.35
C,9,19,4,3,7.499378788,60.20122231,4.333859815,3,19.5675,15,20.07610956,0.266666667
C,16.5,25,5,2,16.48373239,67.15915435,7.794714606,2,25.8535,15,25.11044277,0.2
C,24,7,6,6,22.36633803,41.66000732,#DIV/0!,1,7.174,7.55,9.694123115,0.35
D,9,7,4,6,6.759,50.1752856,#DIV/0!,1,6.4605,15,9.690847497,0.7
D,9,13,4,4,6.759,54.52195732,2.817138711,3,13.028,15,14.17761022,0.233333333
D,16.5,10,5,5,15.6717973,48.78961057,3.125850198,3,10.21,15,12.19975477,0.6
D,16.5,16,5,9,15.6717973,67.13466435,2.930023558,3,15.569,15,16.12105352,0.566666667
D,24,7,6,6,24.62922535,49.32332347,1.257063433,2,6.4605,15,9.690847497,0.6
D,24,13,6,4,24.62922535,50.98333465,0.270740485,3,12.9795,15,14.48544214,0.633333333
D,24,16,6,9,24.62922535,56.96395923,7.618133654,3,15.569,7.55,16.85584737,0.75
D,24,25,6,2,24.62922535,73.45091038,0.748445833,3,25.8535,7.55,25.11044277,0.8
F,9,16,11,4,9.34932526,53.52636064,#DIV/0!,1,16.141,15,17.30579851,0.7
F,16.5,7,4,3,16.11546713,44.0723034,#DIV/0!,1,6.402333333,13.38666667,9.645091977,0.7
G,9,7,13,2,6.318166667,36.12923024,5.825195594,3,7.112333333,7,10.20359776,0.633333333
G,9,13,13,4,6.318166667,46.86662329,2.913895916,3,11.916,7,13.98229579,0.666666667
G,9,22,13,3,6.318166667,65.45973261,20.48777091,3,22.157,7,22.03815172,0.433333333
G,9,28,13,1,6.318166667,81.38780624,3.389962487,3,31.302,7,29.23186351,0.733333333
G,16.5,7,12,2,16.6333109,38.81638033,11.07272657,3,7.548,7,10.5463053,0.766666667
G,16.5,13,12,4,16.6333109,59.33844594,1.614057691,3,12.11,7,14.1349016,0.566666667
G,16.5,22,12,3,16.6333109,78.12127882,6.390480609,3,22.33333333,7,22.17686043,0.766666667
G,16.5,28,12,1,16.6333109,75.85910551,#DIV/0!,1,31.23466667,7,29.17889723,0.8
G,24,7,10,2,26.48139744,40.9829914,0.043727678,2,8.149,7,11.01906864,0.55
G,24,13,10,4,26.48139744,54.06761315,2.99895454,2,12.27133333,7,14.26181089,0.55
G,24,22,10,3,26.48139744,61.04255579,11.0518961,3,22.078,7,21.97600812,0.433333333
G,24,28,10,1,26.48139744,61.44671901,#DIV/0!,1,31.065,7,29.0454327,0.4
